Label,Lobe,Gyrus,Modified cyto-architectonic (abbr.),Modified cyto-architectonic,module,X(voxel),Y(voxel),Z(voxel),Voxel num(2mm),7network,17network
1,Frontal lobe,Superior frontal gyrus,A8m_l,medial area 8,SFG,-5,16,54,791,6,17
2,Frontal lobe,Superior frontal gyrus,A8m_r,medial area 8,SFG,7,16,54,883,4,8
3,Frontal lobe,Superior frontal gyrus,A8dl_l,dorsolateral area 8,SFG,-18,24,53,907,7,16
4,Frontal lobe,Superior frontal gyrus,A8dl_r,dorsolateral area 8,SFG,22,26,51,741,6,13
5,Frontal lobe,Superior frontal gyrus,A9l_l,lateral area 9,SFG,-11,49,39,776,7,17
6,Frontal lobe,Superior frontal gyrus,A9l_r,lateral area 9,SFG,13,48,40,914,7,17
7,Frontal lobe,Superior frontal gyrus,A6dl_l,dorsolateral area 6,SFG,-18,-1,65,644,3,6
8,Frontal lobe,Superior frontal gyrus,A6dl_r,dorsolateral area 6,SFG,20,4,64,664,3,6
9,Frontal lobe,Superior frontal gyrus,A6m_l,medial area 6,SFG,-6,-5,58,758,2,3
10,Frontal lobe,Superior frontal gyrus,A6m_r,medial area 6,SFG,7,-4,60,744,2,3
11,Frontal lobe,Superior frontal gyrus,A9m_l,medial area 9,SFG,-5,36,39,689,7,13
12,Frontal lobe,Superior frontal gyrus,A9m_r,medial area 9,SFG,6,38,35,892,6,13
13,Frontal lobe,Superior frontal gyrus,A10m_l,medial area 10,SFG,-8,56,15,1075,7,16
14,Frontal lobe,Superior frontal gyrus,A10m_r,medial area 10,SFG,8,58,13,924,7,16
15,Frontal lobe,Middle frontal gyrus,A9/46d_l,dorsal area 9/46,MFG,-27,43,31,1089,4,8
16,Frontal lobe,Middle frontal gyrus,A9/46d_r,dorsal area 9/46,MFG,30,37,35,1021,6,11
17,Frontal lobe,Middle frontal gyrus,IFJ_l,inferior frontal junction,MFG,-41,13,36,815,6,12
18,Frontal lobe,Middle frontal gyrus,IFJ_r,inferior frontal junction,MFG,42,11,39,618,6,12
19,Frontal lobe,Middle frontal gyrus,A46_l,area 46,MFG,-28,56,12,805,6,13
20,Frontal lobe,Middle frontal gyrus,A46_r,area 46,MFG,28,55,17,1019,6,13
21,Frontal lobe,Middle frontal gyrus,A9/46v_l,ventral area 9/46,MFG,-41,41,16,1007,6,12
22,Frontal lobe,Middle frontal gyrus,A9/46v_r,ventral area 9/46,MFG,42,44,14,946,6,8
23,Frontal lobe,Middle frontal gyrus,A8vl_l,ventrolateral area 8,MFG,-33,23,45,991,7,16
24,Frontal lobe,Middle frontal gyrus,A8vl_r,ventrolateral area 8,MFG,42,27,39,810,6,13
25,Frontal lobe,Middle frontal gyrus,A6vl_l,ventrolateral area 6,MFG,-32,4,55,636,3,6
26,Frontal lobe,Middle frontal gyrus,A6vl_r,ventrolateral area 6,MFG,34,8,54,592,3,12
27,Frontal lobe,Middle frontal gyrus,A10l_l,lateral area 10,MFG,-25,60,-6,794,5,10
28,Frontal lobe,Middle frontal gyrus,A10l_r,lateral area 10,MFG,25,62,-4,1031,6,13
29,Frontal lobe,Inferior frontal gyrus,A44d_l,dorsal area 44,IFG,-46,13,23,327,6,12
30,Frontal lobe,Inferior frontal gyrus,A44d_r,dorsal area 44,IFG,45,16,25,349,3,12
31,Frontal lobe,Inferior frontal gyrus,IFS_l,inferior frontal sulcus,IFG,-47,32,14,384,6,12
32,Frontal lobe,Inferior frontal gyrus,IFS_r,inferior frontal sulcus,IFG,48,35,13,320,6,12
33,Frontal lobe,Inferior frontal gyrus,A45c_l,caudal area 45,IFG,-53,23,11,318,7,17
34,Frontal lobe,Inferior frontal gyrus,A45c_r,caudal area 45,IFG,54,24,12,374,7,17
35,Frontal lobe,Inferior frontal gyrus,A45r_l,rostral area 45,IFG,-49,36,-3,381,7,17
36,Frontal lobe,Inferior frontal gyrus,A45r_r,rostral area 45,IFG,51,36,0,412,6,8
37,Frontal lobe,Inferior frontal gyrus,A44op_l,opercular area 44,IFG,-39,23,4,471,4,7
38,Frontal lobe,Inferior frontal gyrus,A44op_r,opercular area 44,IFG,42,22,3,557,4,8
39,Frontal lobe,Inferior frontal gyrus,A44v_l,ventral area 44,IFG,-51,13,6,280,4,8
40,Frontal lobe,Inferior frontal gyrus,A44v_r,ventral area 44,IFG,54,14,11,273,4,8
41,Frontal lobe,Orbital gyrus,A14m_l,medial area 14,OrG,-7,53,-7,518,7,16
42,Frontal lobe,Orbital gyrus,A14m_r,medial area 14,OrG,6,48,-7,630,7,16
43,Frontal lobe,Orbital gyrus,A12//47o_l,orbital area 12/47,OrG,-36,33,-16,536,7,17
44,Frontal lobe,Orbital gyrus,A12\/47o_r,orbital area 12/47,OrG,40,38,-14,491,7,17
45,Frontal lobe,Orbital gyrus,A11l_l,lateral area 11,OrG,-23,37,-18,926,5,10
46,Frontal lobe,Orbital gyrus,A11l_r,lateral area 11,OrG,23,36,-18,1210,6,12
47,Frontal lobe,Orbital gyrus,A11m_l,medial area 11,OrG,-6,52,-19,637,5,10
48,Frontal lobe,Orbital gyrus,A11m_r,medial area 11,OrG,6,57,-16,732,5,10
49,Frontal lobe,Orbital gyrus,A13_l,area 13,OrG,-10,18,-19,919,5,10
50,Frontal lobe,Orbital gyrus,A13_r,area 13,OrG,9,20,-19,800,5,10
51,Frontal lobe,Orbital gyrus,A12/47l_l,lateral area 12/47,OrG,-41,33,-9,568,7,17
52,Frontal lobe,Orbital gyrus,A12/47l_r,lateral area 12/47,OrG,43,32,-9,494,7,17
53,Frontal lobe,Precentral gyrus,A4hf_l,area 4(head and face region),PrG,-49,-8,39,897,2,4
54,Frontal lobe,Precentral gyrus,A4hf_r,area 4(head and face region),PrG,55,-2,33,522,2,4
55,Frontal lobe,Precentral gyrus,A6cdl_l,caudal dorsolateral area 6,PrG,-32,-9,58,709,3,6
56,Frontal lobe,Precentral gyrus,A6cdl_r,caudal dorsolateral area 6,PrG,33,-7,57,886,3,6
57,Frontal lobe,Precentral gyrus,A4ul_l,area 4(upper limb region),PrG,-26,-25,63,624,2,3
