Group,Cluster_Selection_Method,k,Score
All Subjects,elbow,2,90009248.0
All Subjects,elbow,3,87340144.0
All Subjects,elbow,4,85510384.0
All Subjects,elbow,5,84133480.0
All Subjects,elbow,6,83163904.0
All Subjects,elbow,7,82382136.0
All Subjects,elbow,8,81699032.0
All Subjects,elbow,9,81121040.0
All Subjects,elbow,10,80646568.0
All Subjects,elbow,11,80207208.0
All Subjects,elbow,12,79790440.0
All Subjects,elbow,13,79407736.0
All Subjects,elbow,14,79083840.0
All Subjects,elbow,15,78780544.0
All Subjects,elbow,16,78495840.0
All Subjects,elbow,17,78257472.0
All Subjects,elbow,18,78026352.0
All Subjects,elbow,19,77809416.0
All Subjects,elbow,20,77594824.0
