Group,CAP,ROI,TemplateValue
All Subjects,CAP-1,A8m_l,0.044495537877082825
All Subjects,CAP-2,A8m_l,-0.29250138998031616
All Subjects,CAP-3,A8m_l,0.2463996559381485
All Subjects,CAP-4,A8m_l,-0.1840670108795166
All Subjects,CAP-5,A8m_l,0.09388715028762817
All Subjects,CAP-6,A8m_l,-0.5724870562553406
All Subjects,CAP-7,A8m_l,0.5330947637557983
All Subjects,CAP-1,A8m_r,-0.2834111452102661
All Subjects,CAP-2,A8m_r,-0.07359232008457184
All Subjects,CAP-3,A8m_r,0.12919943034648895
All Subjects,CAP-4,A8m_r,0.28852319717407227
All Subjects,CAP-5,A8m_r,-0.2281755954027176
All Subjects,CAP-6,A8m_r,-0.6877351403236389
All Subjects,CAP-7,A8m_r,0.6988924145698547
All Subjects,CAP-1,A8dl_l,-0.15135256946086884
All Subjects,CAP-2,A8dl_l,0.05336034297943115
All Subjects,CAP-3,A8dl_l,0.055021002888679504
All Subjects,CAP-4,A8dl_l,-0.8840563297271729
All Subjects,CAP-5,A8dl_l,0.8381016850471497
All Subjects,CAP-6,A8dl_l,-0.4432125687599182
All Subjects,CAP-7,A8dl_l,0.33571508526802063
All Subjects,CAP-1,A8dl_r,-0.44751471281051636
All Subjects,CAP-2,A8dl_r,0.21056576073169708
All Subjects,CAP-3,A8dl_r,0.0843873843550682
All Subjects,CAP-4,A8dl_r,-0.7707837820053101
All Subjects,CAP-5,A8dl_r,0.7934848666191101
All Subjects,CAP-6,A8dl_r,-0.3551274240016937
All Subjects,CAP-7,A8dl_r,0.2662346661090851
All Subjects,CAP-1,A9l_l,0.19783450663089752
All Subjects,CAP-2,A9l_l,0.06070331856608391
All Subjects,CAP-3,A9l_l,-0.21452642977237701
All Subjects,CAP-4,A9l_l,-0.9763870239257812
All Subjects,CAP-5,A9l_l,0.8966273069381714
All Subjects,CAP-6,A9l_l,-0.5323078036308289
All Subjects,CAP-7,A9l_l,0.41893327236175537
All Subjects,CAP-1,A9l_r,-0.08437837660312653
All Subjects,CAP-2,A9l_r,0.17293909192085266
All Subjects,CAP-3,A9l_r,-0.1753503829240799
All Subjects,CAP-4,A9l_r,-0.959600567817688
All Subjects,CAP-5,A9l_r,0.9337129592895508
All Subjects,CAP-6,A9l_r,-0.5715512037277222
All Subjects,CAP-7,A9l_r,0.4839584231376648
All Subjects,CAP-1,A6dl_l,0.036654867231845856
All Subjects,CAP-2,A6dl_l,-0.15609993040561676
All Subjects,CAP-3,A6dl_l,0.1013813391327858
All Subjects,CAP-4,A6dl_l,0.6653982996940613
All Subjects,CAP-5,A6dl_l,-0.6096694469451904
All Subjects,CAP-6,A6dl_l,-0.16953636705875397
All Subjects,CAP-7,A6dl_l,0.15132644772529602
All Subjects,CAP-1,A6dl_r,-0.2800849378108978
All Subjects,CAP-2,A6dl_r,-0.03986189514398575
All Subjects,CAP-3,A6dl_r,0.15112777054309845
All Subjects,CAP-4,A6dl_r,0.7295811772346497
All Subjects,CAP-5,A6dl_r,-0.6176040172576904
All Subjects,CAP-6,A6dl_r,-0.12355595082044601
All Subjects,CAP-7,A6dl_r,0.16711010038852692
All Subjects,CAP-1,A6m_l,0.29717299342155457
All Subjects,CAP-2,A6m_l,-0.05942665785551071
All Subjects,CAP-3,A6m_l,-0.20329757034778595
All Subjects,CAP-4,A6m_l,0.8752020597457886
All Subjects,CAP-5,A6m_l,-0.7694567441940308
All Subjects,CAP-6,A6m_l,-0.48751500248908997
All Subjects,CAP-7,A6m_l,0.3698960244655609
All Subjects,CAP-1,A6m_r,0.15466219186782837
All Subjects,CAP-2,A6m_r,0.028523165732622147
All Subjects,CAP-3,A6m_r,-0.24700194597244263
All Subjects,CAP-4,A6m_r,1.0895556211471558
All Subjects,CAP-5,A6m_r,-0.9181491136550903
All Subjects,CAP-6,A6m_r,-0.4231845736503601
All Subjects,CAP-7,A6m_r,0.351777046918869
All Subjects,CAP-1,A9m_l,-0.07836190611124039
All Subjects,CAP-2,A9m_l,-0.18172696232795715
All Subjects,CAP-3,A9m_l,0.18249455094337463
All Subjects,CAP-4,A9m_l,-0.7753220200538635
All Subjects,CAP-5,A9m_l,0.6923485398292542
All Subjects,CAP-6,A9m_l,-0.7429840564727783
All Subjects,CAP-7,A9m_l,0.670064389705658
All Subjects,CAP-1,A9m_r,-0.3725166320800781
All Subjects,CAP-2,A9m_r,0.07848761230707169
All Subjects,CAP-3,A9m_r,0.0803859606385231
All Subjects,CAP-4,A9m_r,-0.6803345084190369
All Subjects,CAP-5,A9m_r,0.6792111992835999
All Subjects,CAP-6,A9m_r,-0.7607318758964539
All Subjects,CAP-7,A9m_r,0.7067396640777588
All Subjects,CAP-1,A10m_l,0.0894995853304863
All Subjects,CAP-2,A10m_l,0.291461318731308
All Subjects,CAP-3,A10m_l,-0.39087316393852234
All Subjects,CAP-4,A10m_l,-0.8772550821304321
All Subjects,CAP-5,A10m_l,0.8492870330810547
All Subjects,CAP-6,A10m_l,-0.5562300086021423
All Subjects,CAP-7,A10m_l,0.44125285744667053
All Subjects,CAP-1,A10m_r,-0.06854785978794098
All Subjects,CAP-2,A10m_r,0.40841326117515564
All Subjects,CAP-3,A10m_r,-0.4204510748386383
All Subjects,CAP-4,A10m_r,-0.8448191285133362
All Subjects,CAP-5,A10m_r,0.8646717667579651
All Subjects,CAP-6,A10m_r,-0.5290184020996094
All Subjects,CAP-7,A10m_r,0.42071762681007385
All Subjects,CAP-1,A9/46d_l,-0.3861674666404724
All Subjects,CAP-2,A9/46d_l,0.21049372851848602
All Subjects,CAP-3,A9/46d_l,-0.019458016380667686
All Subjects,CAP-4,A9/46d_l,0.11540279537439346
All Subjects,CAP-5,A9/46d_l,-0.04354364424943924
All Subjects,CAP-6,A9/46d_l,-0.4357632100582123
All Subjects,CAP-7,A9/46d_l,0.42569565773010254
All Subjects,CAP-1,A9/46d_r,-0.639379620552063
All Subjects,CAP-2,A9/46d_r,0.26983410120010376
All Subjects,CAP-3,A9/46d_r,0.10181329399347305
All Subjects,CAP-4,A9/46d_r,0.08873983472585678
All Subjects,CAP-5,A9/46d_r,0.019948093220591545
All Subjects,CAP-6,A9/46d_r,-0.2560528814792633
All Subjects,CAP-7,A9/46d_r,0.26681700348854065
All Subjects,CAP-1,IFJ_l,0.08810257911682129
All Subjects,CAP-2,IFJ_l,-0.4768727719783783
All Subjects,CAP-3,IFJ_l,0.44501248002052307
All Subjects,CAP-4,IFJ_l,-0.6653940081596375
All Subjects,CAP-5,IFJ_l,0.536328911781311
All Subjects,CAP-6,IFJ_l,-0.309805303812027
All Subjects,CAP-7,IFJ_l,0.2513141632080078
All Subjects,CAP-1,IFJ_r,-0.2364475578069687
All Subjects,CAP-2,IFJ_r,-0.2371753305196762
All Subjects,CAP-3,IFJ_r,0.3470449447631836
All Subjects,CAP-4,IFJ_r,-0.4388526678085327
All Subjects,CAP-5,IFJ_r,0.3982917368412018
All Subjects,CAP-6,IFJ_r,-0.31535935401916504
All Subjects,CAP-7,IFJ_r,0.33130067586898804
All Subjects,CAP-1,A46_l,-0.3380626440048218
All Subjects,CAP-2,A46_l,-0.02540573664009571
All Subjects,CAP-3,A46_l,0.24877716600894928
All Subjects,CAP-4,A46_l,-0.4096239507198334
All Subjects,CAP-5,A46_l,0.38532739877700806
All Subjects,CAP-6,A46_l,-0.33454248309135437
All Subjects,CAP-7,A46_l,0.30629655718803406
All Subjects,CAP-1,A46_r,-0.5972443222999573
All Subjects,CAP-2,A46_r,0.16932052373886108
All Subjects,CAP-3,A46_r,0.15623842179775238
All Subjects,CAP-4,A46_r,-0.12165869027376175
All Subjects,CAP-5,A46_r,0.19004136323928833
All Subjects,CAP-6,A46_r,-0.3860127627849579
All Subjects,CAP-7,A46_r,0.4047742784023285
All Subjects,CAP-1,A9/46v_l,-0.24520106613636017
All Subjects,CAP-2,A9/46v_l,-0.5237188935279846
All Subjects,CAP-3,A9/46v_l,0.6857377290725708
All Subjects,CAP-4,A9/46v_l,0.08373700082302094
All Subjects,CAP-5,A9/46v_l,-0.14274828135967255
All Subjects,CAP-6,A9/46v_l,-0.2390630543231964
All Subjects,CAP-7,A9/46v_l,0.26893773674964905
All Subjects,CAP-1,A9/46v_r,-0.4756505787372589
All Subjects,CAP-2,A9/46v_r,-0.31775444746017456
All Subjects,CAP-3,A9/46v_r,0.5925171375274658
All Subjects,CAP-4,A9/46v_r,0.3169829547405243
All Subjects,CAP-5,A9/46v_r,-0.31649529933929443
All Subjects,CAP-6,A9/46v_r,-0.22414438426494598
All Subjects,CAP-7,A9/46v_r,0.3102397918701172
