Group,CAP,Region,High_Amplitude,Low_Amplitude
All Subjects,CAP-1,Vis,0.40268552,0.041231897
All Subjects,CAP-1,SomMot,0.5145132,0.0063108495
All Subjects,CAP-1,DorsAttn,0.25816822,0.06364457
All Subjects,CAP-1,SalVentAttn,0.074476935,0.20887433
All Subjects,CAP-1,Limbic,0.28366745,0.026052853
All Subjects,CAP-1,Cont,0.025095582,0.40766713
All Subjects,CAP-1,Default,0.21355595,0.16829507
All Subjects,CAP-1,Subcortical,0.08857754,0.31989443
All Subjects,CAP-1,Cerebellum,0.0,0.4939157
All Subjects,CAP-2,Vis,0.38876542,0.0070634885
All Subjects,CAP-2,SomMot,0.22628038,0.0221348
All Subjects,CAP-2,DorsAttn,0.0357919,0.4859566
All Subjects,CAP-2,SalVentAttn,0.19886632,0.13076526
All Subjects,CAP-2,Limbic,0.071798705,0.08744279
All Subjects,CAP-2,Cont,0.14070648,0.41749963
All Subjects,CAP-2,Default,0.33440807,0.22851032
All Subjects,CAP-2,Subcortical,0.29924506,0.00026864788
All Subjects,CAP-2,Cerebellum,0.24798146,0.03066103
All Subjects,CAP-3,Vis,0.0065986705,0.4525145
All Subjects,CAP-3,SomMot,0.0,0.5149649
All Subjects,CAP-3,DorsAttn,0.36118096,0.070442416
All Subjects,CAP-3,SalVentAttn,0.105694845,0.22522528
All Subjects,CAP-3,Limbic,0.05292431,0.24424592
All Subjects,CAP-3,Cont,0.54151726,0.05442629
All Subjects,CAP-3,Default,0.13143668,0.32326847
All Subjects,CAP-3,Subcortical,0.013204185,0.19650155
All Subjects,CAP-3,Cerebellum,0.1976418,0.037118904
All Subjects,CAP-4,Vis,0.0832591,0.078213796
All Subjects,CAP-4,SomMot,0.5912697,0.0
All Subjects,CAP-4,DorsAttn,0.37836334,0.05398853
All Subjects,CAP-4,SalVentAttn,0.47858745,0.0
All Subjects,CAP-4,Limbic,0.006477539,0.19712336
All Subjects,CAP-4,Cont,0.031042127,0.28497544
All Subjects,CAP-4,Default,0.0,0.7175641
All Subjects,CAP-4,Subcortical,0.0744765,0.046933062
All Subjects,CAP-4,Cerebellum,0.18463717,0.13556878
All Subjects,CAP-5,Vis,0.08062553,0.15446688
All Subjects,CAP-5,SomMot,0.0,0.5928209
All Subjects,CAP-5,DorsAttn,0.050854966,0.42328984
All Subjects,CAP-5,SalVentAttn,0.0,0.44160023
All Subjects,CAP-5,Limbic,0.19478276,0.008837737
All Subjects,CAP-5,Cont,0.27811056,0.029518627
All Subjects,CAP-5,Default,0.70785934,0.0
All Subjects,CAP-5,Subcortical,0.07868604,0.053141274
All Subjects,CAP-5,Cerebellum,0.14323683,0.16656321
All Subjects,CAP-6,Vis,0.75994766,0.0
All Subjects,CAP-6,SomMot,0.01121667,0.35091054
All Subjects,CAP-6,DorsAttn,0.3283681,0.051612142
All Subjects,CAP-6,SalVentAttn,0.0,0.42107925
All Subjects,CAP-6,Limbic,0.016120195,0.25202006
All Subjects,CAP-6,Cont,0.05082882,0.33169135
All Subjects,CAP-6,Default,0.007100578,0.52661544
All Subjects,CAP-6,Subcortical,0.0038044406,0.20845911
All Subjects,CAP-6,Cerebellum,0.22330853,0.008243824
All Subjects,CAP-7,Vis,0.0,0.7716977
All Subjects,CAP-7,SomMot,0.278082,0.019835386
All Subjects,CAP-7,DorsAttn,0.051601294,0.3363607
All Subjects,CAP-7,SalVentAttn,0.47146913,0.0010149006
All Subjects,CAP-7,Limbic,0.22200723,0.014786184
All Subjects,CAP-7,Cont,0.36440057,0.057994366
All Subjects,CAP-7,Default,0.48620105,0.012974821
All Subjects,CAP-7,Subcortical,0.20908013,0.0016906164
All Subjects,CAP-7,Cerebellum,0.012639776,0.20037311
