Metric,Feature,Analysis_Type,N,beta,t_value,p_value,p_FDR
counts,CAP-1,Cross-sectional,478,-1.7265809410557802,-2.5274762726514326,0.011813924173374499,0.027565823071207165
counts,CAP-2,Cross-sectional,478,0.7661948235826426,1.4833183414138593,0.1386572546521936,0.1386572546521936
counts,CAP-3,Cross-sectional,478,-0.9987389968078539,-1.9973375978648344,0.04636208832056904,0.06490692364879665
counts,CAP-4,Cross-sectional,478,1.91294659582612,3.4300486453730747,0.0006564349120843674,0.004595044384590572
counts,CAP-5,Cross-sectional,478,1.6405909522147515,2.7331702233014346,0.006508319402077902,0.022779117907272658
counts,CAP-6,Cross-sectional,478,-0.8587308935862881,-1.5308528932133194,0.12647566934107432,0.1386572546521936
counts,CAP-7,Cross-sectional,478,-1.342182882688456,-2.1983472719996104,0.028409051129991567,0.049715839477485244
persistence,CAP-1,Cross-sectional,478,-0.05477250618992992,-1.175270744087499,0.2404789291633424,0.34764843052266364
persistence,CAP-2,Cross-sectional,478,-0.05930300879940943,-1.3459888170483647,0.17895223703342708,0.34764843052266364
persistence,CAP-3,Cross-sectional,478,-0.04939479011922598,-0.9520215575498351,0.34157330109480927,0.3985021846106108
persistence,CAP-4,Cross-sectional,478,0.09672994874630156,1.3908567651270434,0.16492419576448142,0.34764843052266364
persistence,CAP-5,Cross-sectional,478,0.09981271233321022,1.401555905791816,0.16170511010758834,0.34764843052266364
persistence,CAP-6,Cross-sectional,478,-0.02874343607971914,-0.499611804792897,0.6175812536933218,0.6175812536933218
persistence,CAP-7,Cross-sectional,478,-0.06464051597441436,-1.155866987000511,0.2483203075161883,0.34764843052266364
temporal_fraction,CAP-1,Cross-sectional,478,-0.011524687014250263,-2.426473674092664,0.015619900986057396,0.021867861380480354
temporal_fraction,CAP-2,Cross-sectional,478,0.0013330201518347434,0.36102886881390067,0.7182393982176937,0.7182393982176937
temporal_fraction,CAP-3,Cross-sectional,478,-0.009686194687490143,-2.4513999639091724,0.01459166478874378,0.021867861380480354
temporal_fraction,CAP-4,Cross-sectional,478,0.019820998131329846,4.222400357860237,2.9008318736002294e-05,0.00020305823115201606
temporal_fraction,CAP-5,Cross-sectional,478,0.017855861926735283,3.642010392913407,0.00030046961828376646,0.0010516436639931826
temporal_fraction,CAP-6,Cross-sectional,478,-0.006341991840042941,-1.5713238542523618,0.11677751808658215,0.1362404377676792
temporal_fraction,CAP-7,Cross-sectional,478,-0.011457006668117982,-2.6970506526534126,0.007245942989406831,0.01690720030861594
transition_frequency,frequency,Cross-sectional,478,-0.6065013425148453,-0.3358264841520681,0.7371509440417581,0.8190566044908423
transition_probability,1.1,Cross-sectional,478,-0.008662833301765429,-0.893818330741774,0.3718746160114351,0.6411631310541985
transition_probability,1.2,Cross-sectional,478,0.0022362020510004305,0.48342619240368856,0.6290173308075132,0.802525385469733
transition_probability,1.3,Cross-sectional,478,0.0005009603231461631,0.12426685847582265,0.9011568897935864,0.9387050935349859
transition_probability,1.4,Cross-sectional,478,0.006519861321623931,1.3860945027291927,0.16637250318550223,0.3961250075845291
transition_probability,1.5,Cross-sectional,478,0.014274622000292126,3.4488718971160495,0.0006133889672725244,0.006706081696514393
transition_probability,1.6,Cross-sectional,478,7.140885081404489e-05,0.01812423146158881,0.9855474058886905,0.9855474058886905
transition_probability,1.7,Cross-sectional,478,-0.014940221245112878,-3.7919996286445903,0.00016883100235935762,0.006121729640613373
transition_probability,2.1,Cross-sectional,478,-0.012313609682814839,-3.3729993197157837,0.0008047298035817271,0.006706081696514393
transition_probability,2.2,Cross-sectional,478,-0.006539193623455897,-0.8000754520296499,0.4240695686826589,0.6626087010666545
transition_probability,2.3,Cross-sectional,478,0.0014480088898108229,0.5331982479803558,0.594147318108162,0.7817727869844237
transition_probability,2.4,Cross-sectional,478,0.013569901964746488,3.588530211378889,0.0003673037784368024,0.006121729640613373
transition_probability,2.5,Cross-sectional,478,0.009641982368197008,2.1013740547866293,0.036137695793207365,0.16426225360548802
