Feature,beta_Group,t_value,p_value,F_value,p_F_ancova,N,Metric_Group,p_FDR
counts_CAP-1,-1.7265809410557802,-2.5274762726514326,0.011813924173374499,6.38813630881598,0.011813924173374499,478,counts,0.027565823071207165
counts_CAP-2,0.7661948235826426,1.4833183414138593,0.1386572546521936,2.200233301974762,0.13865725465219367,478,counts,0.1386572546521936
counts_CAP-3,-0.9987389968078539,-1.9973375978648344,0.04636208832056904,3.989357479844468,0.04636208832056904,478,counts,0.06490692364879665
counts_CAP-4,1.91294659582612,3.4300486453730747,0.0006564349120843674,11.765233709625662,0.0006564349120843675,478,counts,0.004595044384590572
counts_CAP-5,1.6405909522147515,2.7331702233014346,0.006508319402077902,7.470219469541613,0.006508319402077902,478,counts,0.022779117907272658
counts_CAP-6,-0.8587308935862881,-1.5308528932133194,0.12647566934107432,2.3435105806595904,0.12647566934107438,478,counts,0.1386572546521936
counts_CAP-7,-1.342182882688456,-2.1983472719996104,0.028409051129991567,4.832730728308131,0.028409051129991546,478,counts,0.049715839477485244
persistence_CAP-1,-0.05477250618992992,-1.175270744087499,0.2404789291633424,1.381261321907984,0.24047892916334232,478,persistence,0.34764843052266364
persistence_CAP-2,-0.05930300879940943,-1.3459888170483647,0.17895223703342708,1.811685895619256,0.17895223703342714,478,persistence,0.34764843052266364
persistence_CAP-3,-0.04939479011922598,-0.9520215575498351,0.34157330109480927,0.9063450460396141,0.3415733010948093,478,persistence,0.3985021846106108
persistence_CAP-4,0.09672994874630156,1.3908567651270434,0.16492419576448142,1.9344825410996633,0.16492419576448145,478,persistence,0.34764843052266364
persistence_CAP-5,0.09981271233321022,1.401555905791816,0.16170511010758834,1.964358957059918,0.16170511010758834,478,persistence,0.34764843052266364
persistence_CAP-6,-0.02874343607971914,-0.499611804792897,0.6175812536933218,0.2496119554884158,0.6175812536933218,478,persistence,0.6175812536933218
persistence_CAP-7,-0.06464051597441436,-1.155866987000511,0.2483203075161883,1.336028491637639,0.24832030751618833,478,persistence,0.34764843052266364
