Feature,beta_Condition,t_value,p_value,N_pairs,converged,Metric_Group,p_FDR
counts_CAP-1,-0.2786814679492623,-0.5150178693414972,0.6065405331301266,235,True,counts,0.6065405331301266
counts_CAP-2,0.8259250419321481,1.944279571866558,0.051861746703054025,235,True,counts,0.07260644538427563
counts_CAP-3,0.5282291227379159,1.314192272241807,0.18878150840792107,235,True,counts,0.2202450931425746
counts_CAP-4,1.9710546770066821,4.3569268542260495,1.31901322928762e-05,235,True,counts,9.23309260501334e-05
counts_CAP-5,1.9231430714568387,4.088019566575225,4.3507146511686784e-05,235,True,counts,0.00015227501279090375
counts_CAP-6,-1.4545353236067704,-3.185475757430567,0.0014451621135831802,235,True,counts,0.0033720449316940876
counts_CAP-7,-1.0042446394300497,-2.079850055683262,0.037539288230244765,235,True,counts,0.06569375440292834
persistence_CAP-1,-0.05649964505657622,-1.4112903574936155,0.15815901651034547,235,True,persistence,0.27304730395580196
persistence_CAP-2,-0.04599923713152415,-1.2958307876574084,0.19503378853985853,235,True,persistence,0.27304730395580196
persistence_CAP-3,-0.022266656483686385,-0.49803150788042055,0.6184618345423649,235,True,persistence,0.6184618345423649
persistence_CAP-4,0.07305220121329863,1.1545283075846533,0.24828363993611235,235,True,persistence,0.2896642465921311
persistence_CAP-5,0.08308423495070835,1.3761122039963107,0.16878689777309164,235,True,persistence,0.27304730395580196
persistence_CAP-6,-0.19973448644073646,-3.8538751851540884,0.00011626288100028843,235,True,persistence,0.0008138401670020191
persistence_CAP-7,-0.16289661476352132,-3.310751298125821,0.0009304586439230866,235,True,persistence,0.0032566052537308034
temporal_fraction_CAP-1,-0.0036549492011728585,-0.9603883637809215,0.3368597922749792,235,True,temporal,0.47160370918497085
temporal_fraction_CAP-2,0.0010115418555242462,0.3415979934785938,0.7326534474390327,235,True,temporal,0.7326534474390327
temporal_fraction_CAP-3,0.0015334738095395509,0.5123115975752006,0.6084329497538842,235,True,temporal,0.7098384413795316
temporal_fraction_CAP-4,0.0185757347220307,5.268647297878751,1.3743273845146593e-07,235,True,temporal,4.810145845801307e-07
temporal_fraction_CAP-5,0.01797002878574202,5.07248361456113,3.9265695475883293e-07,235,True,temporal,8.784615600099415e-07
temporal_fraction_CAP-6,-0.018421970559463794,-5.97206488795785,2.342693108869308e-09,235,True,temporal,1.6398851762085157e-08
temporal_fraction_CAP-7,-0.017139908994734342,-5.025555243626968,5.019780342913951e-07,235,True,temporal,8.784615600099415e-07
transition_frequency,2.5097558397810373,1.6950784696731318,0.09006053596261444,235,True,transition,0.21983425917575983
transition_probability_1.1,-0.009633638994378154,-1.1845539309811322,0.23619386101462592,235,True,transition,0.4042371931835095
transition_probability_1.2,0.00554688842520899,1.506409074154113,0.1319621927026684,235,True,transition,0.2868743319623226
transition_probability_1.3,0.002912331514849429,0.9218912423112096,0.35658530770489116,235,True,transition,0.49525737181234886
transition_probability_1.4,0.00823533802119298,2.1105009375026778,0.03481523050289255,235,True,transition,0.13390473270343287
transition_probability_1.5,0.011147981119522764,3.4595168878314793,0.0005411453419268092,235,True,transition,0.009902790367554454
transition_probability_1.6,-0.010392168695942072,-2.948833214312737,0.0031897606887092427,235,True,transition,0.02278400491935173
transition_probability_1.7,-0.007858420752970604,-2.248339945345036,0.024554521422336266,235,True,transition,0.10231050592640112
transition_probability_2.1,0.0018166493317144227,0.6120646797144653,0.5404949649935661,235,True,transition,0.6141988238563251
transition_probability_2.2,-0.009462486749229289,-1.4067782173438226,0.1594931636579736,235,True,transition,0.3189863273159472
transition_probability_2.3,0.0011379152163566116,0.46402146259892646,0.6426323687141609,235,True,transition,0.6836514560788945
transition_probability_2.4,0.008650569565877942,2.8341993150522637,0.004594066862529037,235,True,transition,0.028712917890806478
transition_probability_2.5,0.012941076009643051,3.434262990009088,0.0005941674220532672,235,True,transition,0.009902790367554454
transition_probability_2.6,-0.004114820983429056,-1.208442072485154,0.2268772648901035,235,True,transition,0.4042371931835095
transition_probability_2.7,-0.010997763481095362,-3.3466712276984274,0.000817881501591467,235,True,transition,0.010223518769893337
transition_probability_3.1,0.0005036329133113534,0.15857754327072449,0.8740017227630505,235,True,transition,0.8918384926153577
transition_probability_3.2,-0.00019851277429728034,-0.09425989806971943,0.9249027047382885,235,True,transition,0.9249027047382885
transition_probability_3.3,-0.0033650988425187713,-0.4772200181673296,0.6332054578885244,235,True,transition,0.6836514560788945
transition_probability_3.4,0.008093394333462475,2.724628892527002,0.006437379823692228,235,True,transition,0.0357632212427346
transition_probability_3.5,0.003904598034501524,1.1293765825359612,0.25873900711705133,235,True,transition,0.4042796986203927
transition_probability_3.6,-0.008293532808604703,-2.526132155980271,0.011532608940171931,235,True,transition,0.052420949728054236
transition_probability_3.7,-0.0006451930969025026,-0.16829848631119837,0.8663484646276305,235,True,transition,0.8918384926153577
transition_probability_4.1,-0.0021041247471391875,-0.6958313101907055,0.48653447860536636,235,True,transition,0.5792077126254361
transition_probability_4.2,-0.0028002421484398833,-0.8431426392297613,0.39914867418494704,235,True,transition,0.5022568106666817
transition_probability_4.3,0.005298115476146257,1.7207149973603924,0.08530255357775637,235,True,transition,0.21983425917575983
transition_probability_4.4,0.010517713779857173,1.5092711743478242,0.13122949798649883,235,True,transition,0.2868743319623226
transition_probability_4.5,-0.0003662536238641088,-1.0037991608850045,0.3154754289450189,235,True,transition,0.4506791842071699
transition_probability_4.6,-0.006766434941859836,-1.9389816842934826,0.05250356843418103,235,True,transition,0.15442226010053245
transition_probability_4.7,-0.0037715672819275277,-1.0855564382477914,0.27767528133291164,235,True,transition,0.40834600196016413
transition_probability_5.1,-0.0030094621124318395,-1.1065428842989793,0.26849161309629166,235,True,transition,0.40680547438832065
transition_probability_5.2,0.0022802204803948744,0.635834918447069,0.524884025484651,235,True,transition,0.6103302621914546
transition_probability_5.3,-0.004947885076546618,-1.4680556089232337,0.1420891183042186,235,True,transition,0.2960189964671221
transition_probability_5.4,-0.00044957603053637663,-1.1686558517394847,0.24254231591010567,235,True,transition,0.4042371931835095
transition_probability_5.5,0.012130946373265023,1.9667084556881484,0.049216831508171285,235,True,transition,0.15380259846303526
transition_probability_5.6,-0.003526835997963497,-1.683230963849004,0.09233038885381913,235,True,transition,0.21983425917575983
transition_probability_5.7,-0.0025749277969013195,-0.8516441988609265,0.39441160026939104,235,True,transition,0.5022568106666817
transition_probability_6.1,0.005053703669018665,1.229927848343283,0.2187241247415378,235,True,transition,0.4042371931835095
transition_probability_6.2,0.0047398577842492256,1.1413177699317474,0.25373770996570744,235,True,transition,0.4042796986203927
transition_probability_6.3,0.0060752143324834754,1.2861275635888143,0.19839854590509576,235,True,transition,0.3815356652021072
transition_probability_6.4,0.012896200325170486,3.039863667108695,0.0023668526176404124,235,True,transition,0.02278400491935173
transition_probability_6.5,0.0031291918291462386,0.8590678620407268,0.3903030768974626,235,True,transition,0.5022568106666817
transition_probability_6.6,-0.030735946696384374,-3.6450660193313915,0.00026732316825005644,235,True,transition,0.009902790367554454
transition_probability_6.7,-0.0011654893677721372,-2.0296097449057773,0.042396223574495205,235,True,transition,0.14132074524831736
transition_probability_7.1,-0.0026290842818803726,-0.7847922443693554,0.43257538806843865,235,True,transition,0.5275309610590716
transition_probability_7.2,0.0019553515960907077,0.5266805439429206,0.5984154488050073,235,True,transition,0.6649060542277859
transition_probability_7.3,0.003059660571255656,0.8384011415641673,0.40180544853334543,235,True,transition,0.5022568106666817
transition_probability_7.4,0.009440429595962531,2.990585071659363,0.0027844355777604437,235,True,transition,0.02278400491935173
transition_probability_7.5,0.008047964216048703,2.076171212260818,0.037878118775336776,235,True,transition,0.13527899562620277
transition_probability_7.6,-0.0008078892165995546,-1.782569395641436,0.0746564254059113,235,True,transition,0.20737895946086474
transition_probability_7.7,-0.01905652027354684,-2.551303565436839,0.010732080320172024,235,True,transition,0.052420949728054236
