Group,Analysis_Type,Imaging_Feature,Clinical_Target,N,Spearman_r,p_value,Metric_Group,p_FDR,Significant_FDR
All_PD,Cross-sectional,counts_CAP-3,UPDRS-III(OFF),337,0.09472676154846221,0.08435024650452858,counts,0.40739346517912944,No
All_PD,Cross-sectional,counts_CAP-1,UPDRS-III(OFF),337,-0.06818592650429589,0.21459007669204963,counts,0.40739346517912944,No
All_PD,Cross-sectional,counts_CAP-2,UPDRS-III(OFF),337,0.06735381048200834,0.22025042557247515,counts,0.40739346517912944,No
All_PD,Cross-sectional,counts_CAP-5,UPDRS-III(OFF),337,0.06556238871766144,0.2327962658166454,counts,0.40739346517912944,No
All_PD,Cross-sectional,counts_CAP-6,UPDRS-III(OFF),337,0.056398948539563856,0.30482974963979587,counts,0.4267616494957142,No
All_PD,Cross-sectional,counts_CAP-4,UPDRS-III(OFF),337,0.04731942056931412,0.3893847387957217,counts,0.45428219526167535,No
All_PD,Cross-sectional,counts_CAP-7,UPDRS-III(OFF),337,0.015294948477109629,0.7809560342352388,counts,0.7809560342352388,No
All_PD,Cross-sectional,persistence_CAP-6,UPDRS-III(OFF),337,-0.10813042252695582,0.048659911471519775,persistence,0.14805466465715786,No
All_PD,Cross-sectional,persistence_CAP-3,UPDRS-III(OFF),337,-0.1045308567789856,0.05670734350987847,persistence,0.14805466465715786,No
All_PD,Cross-sectional,persistence_CAP-7,UPDRS-III(OFF),337,-0.10182715181920733,0.06345199913878194,persistence,0.14805466465715786,No
All_PD,Cross-sectional,persistence_CAP-1,UPDRS-III(OFF),337,-0.050912033190015256,0.3543603950570253,persistence,0.6201306913497944,No
All_PD,Cross-sectional,persistence_CAP-4,UPDRS-III(OFF),337,0.025582773988776532,0.6418150796255664,persistence,0.898541111475793,No
All_PD,Cross-sectional,persistence_CAP-2,UPDRS-III(OFF),337,0.013566217470348628,0.8051863035772456,persistence,0.9011311563512835,No
All_PD,Cross-sectional,persistence_CAP-5,UPDRS-III(OFF),337,-0.006833517686703677,0.9011311563512835,persistence,0.9011311563512835,No
All_PD,Cross-sectional,temporal_fraction_CAP-1,UPDRS-III(OFF),337,-0.08000863212648612,0.14515311746371468,temporal,0.5184932202721485,No
All_PD,Cross-sectional,temporal_fraction_CAP-7,UPDRS-III(OFF),337,-0.07412279363948562,0.17721340972762045,temporal,0.5184932202721485,No
All_PD,Cross-sectional,temporal_fraction_CAP-4,UPDRS-III(OFF),337,0.05889574732662943,0.2838836973125118,temporal,0.5184932202721485,No
All_PD,Cross-sectional,temporal_fraction_CAP-2,UPDRS-III(OFF),337,0.049661564987892544,0.36631980838034944,temporal,0.5184932202721485,No
All_PD,Cross-sectional,temporal_fraction_CAP-5,UPDRS-III(OFF),337,0.04924567050357351,0.3703523001943918,temporal,0.5184932202721485,No
All_PD,Cross-sectional,temporal_fraction_CAP-6,UPDRS-III(OFF),337,-0.03511870206130028,0.5230549241218443,temporal,0.6102307448088183,No
All_PD,Cross-sectional,temporal_fraction_CAP-3,UPDRS-III(OFF),337,-0.02746211373701659,0.6175354147004352,temporal,0.6175354147004352,No
All_PD,Cross-sectional,transition_frequency,UPDRS-III(OFF),337,0.09250352626140096,0.09193095509653444,transition_frequency,0.09193095509653444,No
All_PD,Cross-sectional,transition_probability_5.4,UPDRS-III(OFF),337,0.13309622377266542,0.015079341316384793,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_6.5,UPDRS-III(OFF),337,0.11058971288385018,0.043729530442201806,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_6.6,UPDRS-III(OFF),337,-0.10750153338224318,0.04999277831915599,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_3.3,UPDRS-III(OFF),337,-0.1054597500127713,0.05453183458509228,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_7.7,UPDRS-III(OFF),337,-0.10256882343661844,0.061539255415492225,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_4.5,UPDRS-III(OFF),337,0.09711304246643186,0.07678246324390901,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_3.5,UPDRS-III(OFF),337,0.09478747473153132,0.08415051548703648,transition_probability,0.5890536084092554,No
All_PD,Cross-sectional,transition_probability_2.5,UPDRS-III(OFF),337,-0.0875702827622008,0.11069783832485182,transition_probability,0.6705433689391624,No
All_PD,Cross-sectional,transition_probability_6.2,UPDRS-III(OFF),337,0.08464797714179981,0.12316102694800943,transition_probability,0.6705433689391624,No
All_PD,Cross-sectional,transition_probability_3.6,UPDRS-III(OFF),337,0.07913105951362022,0.14963081350250074,transition_probability,0.7331909861622536,No
All_PD,Cross-sectional,transition_probability_4.6,UPDRS-III(OFF),337,0.07525406495514288,0.17067522317614756,transition_probability,0.7350783776687199,No
All_PD,Cross-sectional,transition_probability_5.6,UPDRS-III(OFF),337,-0.07186395643628243,0.19082077121666838,transition_probability,0.7350783776687199,No
All_PD,Cross-sectional,transition_probability_7.5,UPDRS-III(OFF),337,0.07038312113545415,0.20014759301280174,transition_probability,0.7350783776687199,No
All_PD,Cross-sectional,transition_probability_7.4,UPDRS-III(OFF),337,0.06886897010028538,0.21002239361963423,transition_probability,0.7350783776687199,No
All_PD,Cross-sectional,transition_probability_1.2,UPDRS-III(OFF),337,0.0643600606277547,0.24149456572535857,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_1.3,UPDRS-III(OFF),337,0.058705759333123546,0.28544257983277416,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_3.2,UPDRS-III(OFF),337,0.05836771558065827,0.2882305044507549,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_2.4,UPDRS-III(OFF),337,0.05834950832980031,0.2883811807899106,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_2.3,UPDRS-III(OFF),337,0.05790391175821539,0.29208524990676826,transition_probability,0.7532724866016656,No
All_PD,Cross-sectional,transition_probability_3.4,UPDRS-III(OFF),337,0.05396714070657513,0.32618831675386867,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_1.1,UPDRS-III(OFF),337,-0.049346148560743826,0.3693755644631586,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_5.1,UPDRS-III(OFF),337,-0.04766462752869831,0.3859310136007399,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_4.3,UPDRS-III(OFF),337,-0.046825390056337526,0.39435985256476086,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_4.2,UPDRS-III(OFF),337,-0.045030906431607544,0.4127507209988769,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_3.1,UPDRS-III(OFF),337,-0.04364655780491402,0.4272778845105387,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_6.4,UPDRS-III(OFF),337,0.04267313661290764,0.43766802419392753,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_1.4,UPDRS-III(OFF),337,-0.04254751037135193,0.43901940129730593,transition_probability,0.7967389134654812,No
All_PD,Cross-sectional,transition_probability_6.3,UPDRS-III(OFF),337,0.04025351174869628,0.4641122271707725,transition_probability,0.8121963975488519,No
All_PD,Cross-sectional,transition_probability_4.7,UPDRS-III(OFF),337,-0.03409600873030586,0.5352350897182949,transition_probability,0.9017501646730386,No
All_PD,Cross-sectional,transition_probability_6.7,UPDRS-III(OFF),337,0.031264257372477226,0.5696867757381487,transition_probability,0.9017501646730386,No
All_PD,Cross-sectional,transition_probability_2.1,UPDRS-III(OFF),337,-0.031198835092330332,0.5704950021400856,transition_probability,0.9017501646730386,No
All_PD,Cross-sectional,transition_probability_3.7,UPDRS-III(OFF),337,0.027343361257960903,0.6190577223032409,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_4.4,UPDRS-III(OFF),337,0.025010686670154186,0.64928395225853,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.2,UPDRS-III(OFF),337,0.021745420388633602,0.6925688790302356,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_1.6,UPDRS-III(OFF),337,-0.02162460086698406,0.6941909153618384,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_6.1,UPDRS-III(OFF),337,-0.018986417890774727,0.729945582084089,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.2,UPDRS-III(OFF),337,-0.01703616860176627,0.7567629457556847,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.3,UPDRS-III(OFF),337,0.016198887414119446,0.7683684189709076,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_1.7,UPDRS-III(OFF),337,-0.016051057457964472,0.7704229378091866,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.7,UPDRS-III(OFF),337,0.014770610608717918,0.7882840985054936,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_2.2,UPDRS-III(OFF),337,0.013189733618386901,0.8104888510453571,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_1.5,UPDRS-III(OFF),337,0.01288355724152791,0.8148075645488897,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.5,UPDRS-III(OFF),337,-0.010087271018537812,0.8544936549187895,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_2.6,UPDRS-III(OFF),337,0.006715292341781032,0.90283314964108,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_4.1,UPDRS-III(OFF),337,0.006445826128056809,0.9067140830037878,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.6,UPDRS-III(OFF),337,0.005626954889391232,0.9185209449006636,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_5.3,UPDRS-III(OFF),337,0.004343215940581817,0.9370655508447069,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_7.1,UPDRS-III(OFF),337,0.004310571946031068,0.9375376049645374,transition_probability,0.9415339375795274,No
All_PD,Cross-sectional,transition_probability_2.7,UPDRS-III(OFF),337,-0.0040342726489611055,0.9415339375795274,transition_probability,0.9415339375795274,No
All_PD,Longitudinal,Delta_counts_CAP-7,Delta_UPDRS,235,0.10673220824128542,0.10565953895155124,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-3,Delta_UPDRS,235,0.08289639700389818,0.20939057640458733,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-6,Delta_UPDRS,235,0.07512151472450375,0.25547057297638004,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-5,Delta_UPDRS,235,-0.06077283327361419,0.3578306338893517,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-2,Delta_UPDRS,235,-0.055591094972147544,0.4003599298328895,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-4,Delta_UPDRS,235,-0.052268197206298515,0.42915470740741674,counts,0.5006804919753196,No
All_PD,Longitudinal,Delta_counts_CAP-1,Delta_UPDRS,235,-0.025499874336863567,0.6998486452746095,counts,0.6998486452746095,No
All_PD,Longitudinal,Delta_persistence_CAP-7,Delta_UPDRS,235,-0.11711421239469696,0.07565976562399918,persistence,0.5296183593679943,No
All_PD,Longitudinal,Delta_persistence_CAP-4,Delta_UPDRS,235,-0.0866812628652024,0.18926162748431524,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-5,Delta_UPDRS,235,0.06471974937787954,0.32740901170026077,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-1,Delta_UPDRS,235,0.0499795056633443,0.4496644582800021,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-6,Delta_UPDRS,235,-0.047878214184227975,0.46897135308866533,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-3,Delta_UPDRS,235,-0.042051958734561995,0.52480988067193,persistence,0.6122781941172517,No
All_PD,Longitudinal,Delta_persistence_CAP-2,Delta_UPDRS,235,0.021191421072584173,0.7486875030525291,persistence,0.7486875030525291,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-4,Delta_UPDRS,235,-0.08680548120922045,0.18862590071136748,temporal,0.9531750765517981,No
All_PD,Longitudinal,Delta_temporal_fraction_CAP-7,Delta_UPDRS,235,0.04970489518785376,0.4521618912284437,temporal,0.9531750765517981,No
