Feature,feature_base,N_subjects,N_rows,N_responder_rows,beta_off_on,p_off_on,beta_responder_vs_non_on,p_responder_vs_non_on,beta_responder_vs_non_off,p_responder_vs_non_off,beta_off_on_responder,p_off_on_responder,beta_interaction,p_interaction,converged,lmm_spec,p_interaction_FDR,Metric_Group,p_off_on_FDR,p_responder_vs_non_on_FDR,p_responder_vs_non_off_FDR,p_off_on_responder_FDR,interaction_significant_FDR
counts_CAP-2,counts_CAP-2,235,470,284,2.2869596823995,0.0005852484291046789,1.0119985512895002,0.1288668650151954,-1.398352080798649,0.035543017957533785,-0.12339094968864917,0.8180861978743184,-2.410350632088149,0.004685774709015433,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.032800422963108034,counts,0.003418261263755995,0.5798913827889801,0.2488011257027365,0.8471557935353822,Yes
transition_probability_5.2,transition_probability_5.2,235,470,284,0.01304072479810258,0.021392163343129544,0.004944149501968578,0.34253677079999223,-0.012839892178524234,0.013546345031566265,-0.004743316882390231,0.2997836227220987,-0.017784041680492812,0.014422054748558732,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.43988933640855005,transition_probability,0.1349421360465641,0.9332762993828576,0.43487935505992475,0.5065309487373392,No
transition_probability_6.2,transition_probability_6.2,235,470,284,0.016800678680239732,0.010513325693943809,0.005646921902952932,0.3494754237905311,-0.014285513188519875,0.017750177757547947,-0.003131756411233075,0.5546267673395215,-0.019932435091472807,0.017954666792185714,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.43988933640855005,transition_probability,0.11759738387004046,0.9332762993828576,0.43487935505992475,0.6968387589650399,No
temporal_fraction_CAP-2,temporal_fraction_CAP-2,235,470,284,0.009419527972012188,0.04227410428433287,0.0033114144799960316,0.4903133110999658,-0.01056910065553988,0.02740044981149703,-0.004460987163523724,0.2329312499614722,-0.013880515135535912,0.01948323808380903,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.1363826665866632,temporal,0.0687565949185279,0.8287787451774347,0.1918031486804792,0.32610374994606106,No
transition_probability_1.3,transition_probability_1.3,235,470,284,0.011347888141151076,0.022031369150459446,0.008560881125770695,0.08596435437109573,-0.0053395046695894465,0.2833179606902205,-0.002552497654209066,0.5230762942994689,-0.013900385795360142,0.028605342472394657,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.4672205937157794,transition_probability,0.1349421360465641,0.8759246825218956,0.9477061191829129,0.6744931163335257,No
transition_probability_3.5,transition_probability_3.5,235,470,284,-0.004116123014960905,0.45118673994941183,-0.011878259567258019,0.025202526006576242,0.0013197076084271366,0.8032708647924551,0.00908184416072425,0.03934891239583216,0.013197967175685155,0.059486869377909146,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.7287141498793871,transition_probability,0.599285058970775,0.8759246825218956,0.9477061191829129,0.19280967073957758,No
transition_probability_7.1,transition_probability_7.1,235,470,284,-0.009797727450744477,0.06450680036523826,-0.005159229399234223,0.2948544954824177,0.006672643256364333,0.17475257516125686,0.0020341452048540792,0.6344002541901586,0.011831872655598557,0.08172444129557155,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.8008995246966012,transition_probability,0.22438761237382115,0.9332762993828576,0.9477061191829129,0.7329040257103024,No
temporal_fraction_CAP-5,temporal_fraction_CAP-5,235,470,284,0.011033476321025389,0.049111853513234216,-0.0023672124410267733,0.7281003601266458,0.009058269581227836,0.18256521396174263,0.022458958343279996,6.505961691605222e-07,0.011425482022254609,0.111028469786419,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.3407372363800052,temporal,0.0687565949185279,0.8287787451774347,0.6389782488660992,4.5541731841236555e-06,No
transition_probability_3.1,transition_probability_3.1,235,470,284,0.006405132340652865,0.2010860124974958,0.004182937992279894,0.377511554743446,-0.005556458033851208,0.2402822328938834,-0.0033342636854782363,0.4095298247587904,-0.009739396026131102,0.12949265401040533,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.9106648672939904,transition_probability,0.4105506088490539,0.9332762993828576,0.9477061191829129,0.6173979338538557,No
transition_probability_3.4,transition_probability_3.4,235,470,284,0.013618304934671362,0.0038246703433848506,0.009524575930801926,0.03620255586189858,0.0004406330636414369,0.9226677654887216,0.004534362067510874,0.23263620959185083,-0.009083942867160489,0.13234143354859906,True,Condition_encoded+Responder_encoded+Interaction+Gender_centered+Age_centered+Years_of_Education_centered+Mean_FD_centered,0.9106648672939904,transition_probability,0.06246961560861923,0.8759246825218956,0.9477061191829129,0.5065309487373392,No
