Feature,feature_base,N_total,beta_2way_Overall,p_2way_Overall,beta_3way_Interaction,p_3way_Interaction,beta_off_on_nonres,p_off_on_nonres,beta_off_on_res,p_off_on_res,beta_group_on,p_group_on,beta_group_off,p_group_off,Metric_Group,p_2way_Overall_FDR,p_3way_Interaction_FDR,p_off_on_nonres_FDR,p_off_on_res_FDR,p_group_on_FDR,p_group_off_FDR
counts_CAP-1,counts_CAP-1,470,-0.5324576430327155,0.6358055715123063,1.1632302092879878,0.6100518592904043,-0.001761914765065565,0.9984065238131814,-0.5342195577977811,0.4465708967884172,0.6701261310143557,0.4308862695808897,0.13766848798164022,0.8712111437658643,counts,0.7417731667643575,0.9363679704635902,0.9984065238131814,0.7775413067665312,0.6032407774132456,0.9849289164554766
counts_CAP-2,counts_CAP-2,470,-2.588238322915987,0.0028883896922002536,-0.6133022210893189,0.7278276798569161,2.420900843433707,0.00038378651148329723,-0.16733747948227995,0.757651572250462,1.1855668711665228,0.07714475751107153,-1.402671451749464,0.036164083682971526,counts,0.020218727845401775,0.9363679704635902,0.0026865055803830806,0.8456166305181683,0.5400133025775007,0.2531485857808007
counts_CAP-3,counts_CAP-3,470,-1.0784592272924503,0.19657656282860292,0.010462509003398238,0.9950725397316157,1.1799695814579185,0.07177178737027456,0.10151035416546828,0.8456166305181683,0.051698487290789547,0.935500527699781,-1.0267607400016607,0.10734669865845281,counts,0.4586786466000735,0.9950725397316157,0.083733751931987,0.8456166305181683,0.935500527699781,0.37571344530458484
counts_CAP-4,counts_CAP-4,470,-0.6361716222685543,0.4996119049489104,1.143984076810793,0.5495450596522602,2.3109787500530405,0.001785671978101755,1.6748071277844863,0.0044155178036411336,0.6220333299770847,0.40682714552908106,-0.014138292291469567,0.9849289164554766,counts,0.6994566669284745,0.9363679704635902,0.006249851923356142,0.015454312312743967,0.6032407774132456,0.9849289164554766
counts_CAP-5,counts_CAP-5,470,0.13711145380405906,0.8877442150477576,3.7502213877365427,0.0570035477916663,1.6813439123660538,0.027531064385292625,1.8184553661701128,0.0027127934044051116,-0.6431877318969259,0.4230682773488097,-0.5060762780928668,0.5276706496874768,counts,0.8877442150477576,0.3990248345416641,0.03854349013940967,0.015454312312743967,0.6032407774132456,0.7387389095624675
counts_CAP-6,counts_CAP-6,470,0.8110067272009891,0.38390867261624817,-0.5853321694421098,0.7567197548569902,-1.9154891217336913,0.008858446929068897,-1.1044823945327022,0.05754688088309057,-0.15398417207007542,0.8452109297352908,0.6570225551309137,0.40389487355084386,counts,0.6718401770784344,0.9363679704635902,0.01550228212587057,0.134276055393878,0.935500527699781,0.7068160287139768
counts_CAP-7,counts_CAP-7,470,1.6743439569253937,0.09050242986233993,0.5015938057004937,0.8026011175402201,-2.038496351923448,0.008662565499018449,-0.3641523949980543,0.5553866476903795,-0.8853200444752785,0.26215600067291667,0.7890239124501153,0.3167021862370607,counts,0.31675850451818977,0.9363679704635902,0.01550228212587057,0.7775413067665312,0.6032407774132456,0.7068160287139768
persistence_CAP-1,persistence_CAP-1,470,-0.006103756371685546,0.9417262478662877,-0.01662724781631779,0.9218034681041023,-0.052465809720280435,0.42314054394433387,-0.05856956609196598,0.26112974563857305,-0.04500654450935357,0.469192078431232,-0.051110300881039114,0.41025547638904003,persistence,0.9417262478662877,0.9948452485711108,0.8827603132536455,0.33950589286347554,0.8210861372546561,0.71794708368082
persistence_CAP-2,persistence_CAP-2,470,-0.04463034533463905,0.546028541479336,-0.08931524783150964,0.5514598645186308,-0.015330453734922643,0.7915505739915611,-0.05996079906956169,0.19382718570859225,-0.00819175659232236,0.8838637290403808,-0.05282210192696141,0.3453484258179502,persistence,0.7644399580710703,0.9948452485711108,0.8827603132536455,0.33919757499003644,0.9652561177727776,0.71794708368082
persistence_CAP-3,persistence_CAP-3,470,-0.08396982590367265,0.36529161717924385,-0.0012155866422689783,0.9948452485711108,0.02867010111457939,0.6935660829647756,-0.05529972478909326,0.33950589286347554,0.08417789797666975,0.22471180218921294,0.00020807207299709807,0.997601183622917,persistence,0.7644399580710703,0.9948452485711108,0.8827603132536455,0.33950589286347554,0.8210861372546561,0.997601183622917
