Feature,feature_base,Gender_Cohort,N_subcohort,beta_interaction,p_interaction,beta_off_on_nonres,p_off_on_nonres,beta_off_on_res,p_off_on_res,beta_group_on,p_group_on,beta_group_off,p_group_off,Metric_Group,p_interaction_FDR,p_off_on_nonres_FDR,p_off_on_res_FDR,p_group_on_FDR,p_group_off_FDR
counts_CAP-1,counts_CAP-1,Gender_1,234,-0.4228006681667154,0.7842401299505706,0.06100945590886512,0.9580186457370727,-0.36179121225785027,0.7241236954153756,0.6535356418715036,0.5978979433199172,0.23073497370478818,0.8516679984033539,counts,0.7842401299505706,0.9580186457370727,0.9548073301473214,0.8679555551510736,0.8516679984033539
counts_CAP-1,counts_CAP-1,Gender_2,202,0.39601348344816817,0.8273560605405675,-1.720293218972115,0.25264134875985733,-1.3242797355239468,0.19282214983977197,0.5067646253552329,0.6971989410151858,0.902778108803401,0.4849302129588682,counts,0.9643792143708568,0.3536978882638003,0.26995100977568076,0.8499442884874147,0.646702061061516
counts_CAP-2,counts_CAP-2,Gender_1,234,-2.377006415016008,0.036288021851322495,1.6315174995519222,0.05554722480261831,-0.7454889154640858,0.32233198313828026,0.2809201481935529,0.7480359217810242,-2.096086266822455,0.01609369190335741,counts,0.2540161529592575,0.14048762943292775,0.8178731847761089,0.8679555551510736,0.11265584332350187
counts_CAP-2,counts_CAP-2,Gender_2,202,-2.9246210537493424,0.04187166739772347,2.991812059007704,0.011992972020818948,0.06719100525836152,0.9334040703235145,2.030830223639349,0.06685333154504502,-0.8937908301099933,0.4162579919243421,counts,0.2925927125342356,0.04197540207286632,0.9334040703235145,0.4679733208153152,0.646702061061516
counts_CAP-3,counts_CAP-3,Gender_1,234,-1.6049320169475005,0.17686442981110795,1.560260994688432,0.08027864539024443,-0.044671022259068494,0.9548073301473214,0.31892257853090517,0.7230190022464107,-1.2860094384165954,0.15131207049158046,counts,0.6154992218178509,0.14048762943292775,0.9548073301473214,0.8679555551510736,0.3530614978136878
counts_CAP-3,counts_CAP-3,Gender_2,202,-0.8213155027525383,0.5150604186954322,0.6663378563903944,0.52393220266655,-0.15497764636214384,0.8260974061090911,-0.2931865524259356,0.7686448798515224,-1.114502055178474,0.2595706321574873,counts,0.7220567864411847,0.5962596576481531,0.9334040703235145,0.8499442884874147,0.646702061061516
counts_CAP-4,counts_CAP-4,Gender_1,234,-1.0483589499998933,0.40943749326194123,2.1445225108285864,0.024561655360007872,1.096163560828693,0.19383647578216445,0.38650677003286854,0.7041698519316437,-0.6618521799670247,0.5137981318546321,counts,0.6154992218178509,0.14048762943292775,0.8178731847761089,0.8679555551510736,0.785016385837614
counts_CAP-4,counts_CAP-4,Gender_2,202,0.06642410047934089,0.9643792143708568,1.9756908278128889,0.10903977449341173,2.0421149282922295,0.01400932622633344,0.4898083781831502,0.688914836564626,0.556232478662491,0.646702061061516,counts,0.9643792143708568,0.19081960536347053,0.0326884278614447,0.8499442884874147,0.646702061061516
counts_CAP-5,counts_CAP-5,Gender_1,234,-1.0033246676218672,0.43964230129846493,1.8086173841920128,0.06341127831600502,0.8052927165701456,0.35051707918976094,-0.6488340077980488,0.5557526271474056,-1.652158675419916,0.13186932976081422,counts,0.6154992218178509,0.14048762943292775,0.8178731847761089,0.8679555551510736,0.3530614978136878
counts_CAP-5,counts_CAP-5,Gender_2,202,2.7990027030890077,0.08359791786692444,0.7103935768042601,0.5962596576481531,3.509396279893268,0.00010365761176611699,-1.1841172874696237,0.37065830815049994,1.614885415619384,0.2183319238601884,counts,0.2925927125342356,0.5962596576481531,0.0007256032823628189,0.8499442884874147,0.646702061061516
