Group,Mean_FD,95% CI_low,95% CI_high,p
PD(N=316),0.1896 ± 0.0756,0.1813,0.1980,-
HC(N=140),0.1627 ± 0.0668,0.1515,0.1738,-
PD vs. HC,-,-,-,<0.001
PD-OFF(N=218),0.1876 ± 0.0727,0.1779,0.1973,-
PD-ON(N=218),0.1979 ± 0.0752,0.1879,0.2080,-
PD-OFF vs. PD-ON,-,-,-,0.021
Responder-OFF(N=135),0.1880 ± 0.0714,0.1758,0.2001,-
Non-responder-OFF(N=83),0.1870 ± 0.0752,0.1706,0.2035,-
Responder-OFF vs. Non-responder-OFF,-,-,-,0.765
Responder-ON(N=135),0.1956 ± 0.0722,0.1833,0.2079,-
Non-responder-ON(N=83),0.2017 ± 0.0801,0.1842,0.2192,-
Responder-ON vs. Non-responder-ON,-,-,-,0.700
